,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,5.4054054054054035,45.4954954954955,59.909909909909906,48.64864864864865,52.25225225225225,0.0,14.86486486486487,0.45045045045044674,1.8018018018018012,0.9009009009009077,0.45045045045044674,0.0,0.0,0.0,16.44144144144144
$SASS_{60 Hz}$,35.13513513513513,47.297297297297305,54.95495495495496,54.05405405405405,48.19819819819819,40.090090090090094,59.909909909909906,40.990990990990994,41.44144144144144,42.34234234234234,43.24324324324324,27.927927927927925,24.324324324324323,15.765765765765778,41.11969111969112
RMS,35.13513513513513,45.04504504504504,56.75675675675676,31.531531531531527,36.03603603603604,47.297297297297305,70.72072072072072,45.945945945945944,2.252252252252248,41.891891891891895,19.369369369369366,4.054054054054063,0.45045045045044674,0.0,31.177606177606172
$Grad_{max}$,3.6036036036036023,49.0990990990991,33.78378378378379,76.57657657657657,36.93693693693694,0.9009009009009077,0.0,0.0,44.14414414414415,13.513513513513516,9.909909909909913,0.0,0.0,0.0,19.176319176319176
ZCR,67.56756756756756,66.66666666666667,60.36036036036036,65.31531531531532,62.61261261261261,59.00900900900901,53.6036036036036,56.75675675675676,76.12612612612612,69.81981981981981,74.77477477477478,63.96396396396396,63.513513513513516,58.55855855855856,64.18918918918918
Kurtosis,64.86486486486487,76.12612612612612,49.0990990990991,81.08108108108108,32.88288288288288,51.35135135135135,86.48648648648648,80.63063063063063,55.4054054054054,61.26126126126126,49.0990990990991,48.19819819819819,65.31531531531532,58.108108108108105,61.42213642213642
