,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,3.1390134529147957,39.46188340807175,27.354260089686093,45.2914798206278,43.94618834080718,50.224215246636774,50.224215246636774,59.19282511210762,24.215246636771298,46.63677130044843,36.32286995515695,37.66816143497758,25.11210762331838,36.77130044843049,37.540038436899415
$SASS_{60 Hz}$,0.0,52.46636771300449,44.39461883408071,59.64125560538117,52.01793721973094,85.65022421524664,66.81614349775785,80.71748878923766,73.99103139013454,77.13004484304932,71.30044843049328,91.92825112107623,94.61883408071749,94.17040358744394,67.48878923766816
RMS,2.2421524663677133,51.12107623318386,18.38565022421524,48.430493273542595,18.83408071748879,35.426008968609864,54.7085201793722,23.766816143497763,31.838565022421534,30.044843049327355,49.775784753363226,35.426008968609864,28.69955156950674,48.87892376681614,34.112748238308775
$Grad_{max}$,0.0,69.95515695067265,22.869955156950667,21.524663677130036,30.044843049327355,27.80269058295964,49.327354260089685,32.28699551569507,8.07174887892377,54.26008968609865,59.19282511210762,50.672645739910315,27.80269058295964,27.80269058295964,34.40102498398463
ZCR,69.50672645739911,60.53811659192825,63.228699551569505,61.88340807174888,68.16143497757848,63.228699551569505,65.02242152466368,67.71300448430493,67.71300448430493,65.91928251121077,70.85201793721973,66.81614349775785,65.02242152466368,66.3677130044843,65.8552210121717
Kurtosis,18.38565022421524,68.60986547085201,41.70403587443946,52.46636771300449,56.95067264573991,43.04932735426009,52.01793721973094,50.672645739910315,55.156950672645735,85.65022421524664,53.36322869955157,64.57399103139014,71.30044843049328,55.60538116591928,54.96476617552851
