,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,8.07174887892377,44.84304932735426,29.596412556053806,65.02242152466368,22.421524663677133,0.0,1.7937219730941791,4.035874439461878,7.623318385650222,0.8968609865470825,2.2421524663677133,0.0,0.0,0.0,13.324791800128127
$SASS_{60 Hz}$,2.6905829596412474,43.94618834080718,53.36322869955157,61.88340807174888,56.053811659192824,59.19282511210762,61.88340807174888,55.60538116591928,47.08520179372198,44.39461883408071,54.7085201793722,29.596412556053806,30.941704035874437,25.56053811659193,44.778987828315174
RMS,41.255605381165914,53.81165919282511,61.88340807174888,39.9103139013453,32.7354260089686,65.91928251121077,71.74887892376682,45.2914798206278,14.349775784753362,53.36322869955157,30.941704035874437,8.07174887892377,3.587443946188344,0.0,37.34785393978219
$Grad_{max}$,6.72645739910314,48.430493273542595,5.381165919282509,66.3677130044843,23.766816143497763,2.6905829596412474,0.0,0.0,36.77130044843049,19.282511210762337,12.107623318385649,0.0,0.0,0.0,15.823190262652146
ZCR,69.50672645739911,60.53811659192825,63.228699551569505,61.88340807174888,68.16143497757848,63.228699551569505,65.02242152466368,67.71300448430493,67.71300448430493,65.91928251121077,70.85201793721973,66.81614349775785,65.02242152466368,66.3677130044843,65.8552210121717
Kurtosis,47.98206278026906,71.30044843049328,50.672645739910315,88.34080717488789,36.32286995515695,58.29596412556054,81.16591928251121,73.54260089686099,66.81614349775785,64.12556053811659,47.98206278026906,56.50224215246637,60.08968609865471,55.156950672645735,61.30685458039718
