,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,11.160714285714292,58.92857142857143,53.57142857142857,53.57142857142857,51.339285714285715,0.0,16.51785714285714,3.125,0.0,0.0,0.0,0.0,0.0,0.0,17.729591836734695
$SASS_{60 Hz}$,25.89285714285714,41.96428571428571,57.589285714285715,63.392857142857146,66.96428571428572,58.035714285714285,61.607142857142854,49.10714285714286,44.19642857142857,45.08928571428571,50.44642857142857,32.58928571428571,28.57142857142857,20.089285714285708,46.10969387755101
RMS,26.339285714285708,47.32142857142857,65.625,38.39285714285714,45.08928571428571,53.57142857142857,57.589285714285715,30.80357142857143,4.910714285714292,44.64285714285714,32.14285714285714,17.85714285714286,13.839285714285708,0.0,34.15178571428571
$Grad_{max}$,49.10714285714286,69.19642857142857,17.85714285714286,59.82142857142857,18.30357142857143,0.0,0.4464285714285694,0.0,0.4464285714285694,1.7857142857142918,3.125,0.0,0.0,0.0,15.720663265306124
ZCR,68.30357142857143,75.0,69.19642857142857,58.482142857142854,65.625,65.625,66.07142857142857,59.375,60.267857142857146,66.96428571428572,67.85714285714286,59.375,59.375,57.589285714285715,64.2219387755102
Kurtosis,58.92857142857143,79.01785714285714,49.10714285714286,77.23214285714286,27.67857142857143,47.32142857142857,71.875,57.589285714285715,63.392857142857146,54.017857142857146,48.21428571428571,48.66071428571429,45.53571428571429,44.64285714285714,55.22959183673469
