,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,26.90582959641256,43.497757847533634,10.762331838565018,68.60986547085201,13.004484304932745,0.0,0.0,0.8968609865470825,1.3452914798206308,0.0,0.44843049327354834,0.0,0.0,0.0,11.819346572709803
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.0,82.95964125560539,56.053811659192824,96.8609865470852,34.52914798206278,62.780269058295964,90.5829596412556,75.7847533632287,43.497757847533634,43.94618834080718,54.7085201793722,65.91928251121077,71.74887892376682,65.02242152466368,60.313901345291484
