,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,0.0,37.21973094170403,17.040358744394624,54.26008968609865,37.66816143497758,48.430493273542595,35.87443946188341,53.36322869955157,47.98206278026906,21.973094170403584,35.87443946188341,44.39461883408071,38.11659192825112,47.08520179372198,37.09160794362588
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968609865470825,0.0,0.0,0.0,0.0,0.0,0.06406149903907732
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44843049327354834,0.44843049327354834,0.0,0.0,0.0,0.0,0.0,0.06406149903907833
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.0,78.47533632286995,46.63677130044843,60.53811659192825,29.147982062780258,50.672645739910315,65.47085201793722,49.775784753363226,33.6322869955157,88.78923766816143,62.33183856502242,83.40807174887892,85.20179372197309,73.54260089686099,57.6873798846893
