,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,32.14285714285714,38.39285714285714,50.0,51.339285714285715,40.17857142857143,0.0,8.035714285714292,1.7857142857142918,0.0,0.0,0.0,0.0,0.0,0.0,15.848214285714286
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.4464285714285694,76.33928571428572,50.44642857142857,86.16071428571428,17.410714285714292,46.42857142857143,75.44642857142857,60.267857142857146,69.19642857142857,49.10714285714286,38.39285714285714,54.017857142857146,53.57142857142857,50.0,51.94515306122448
