,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,7.657657657657651,53.6036036036036,43.24324324324324,27.47747747747748,45.4954954954955,35.13513513513513,43.24324324324324,14.86486486486487,35.58558558558559,18.018018018018026,43.24324324324324,15.315315315315317,18.018018018018026,10.36036036036036,29.375804375804375
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.0,79.27927927927928,55.85585585585586,76.12612612612612,21.171171171171167,69.81981981981981,38.288288288288285,73.42342342342343,81.98198198198199,11.261261261261254,63.06306306306306,79.72972972972973,78.37837837837839,60.36036036036036,56.33848133848134
