,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,32.88288288288288,53.153153153153156,54.05405405405405,31.08108108108108,52.7027027027027,45.4954954954955,48.19819819819819,21.621621621621628,44.14414414414415,27.02702702702703,53.153153153153156,18.468468468468473,22.97297297297297,15.765765765765778,37.1943371943372
$SASS_{60 Hz}$,0.0,63.513513513513516,48.64864864864865,38.288288288288285,39.63963963963963,33.78378378378379,38.288288288288285,37.83783783783784,34.23423423423422,65.31531531531532,56.30630630630631,49.54954954954955,45.945945945945944,40.090090090090094,42.24581724581726
RMS,28.378378378378372,42.34234234234234,33.33333333333334,53.6036036036036,24.774774774774784,13.513513513513516,37.83783783783784,37.83783783783784,56.30630630630631,31.981981981981974,35.58558558558559,43.24324324324324,14.86486486486487,37.83783783783784,35.1029601029601
$Grad_{max}$,1.3513513513513544,40.990990990990994,56.30630630630631,34.23423423423422,55.4054054054054,46.3963963963964,54.05405405405405,60.36036036036036,45.945945945945944,51.35135135135135,62.16216216216216,30.630630630630634,25.675675675675677,40.090090090090094,43.21106821106821
ZCR,67.56756756756756,66.66666666666667,60.36036036036036,64.86486486486487,62.61261261261261,59.00900900900901,53.6036036036036,56.75675675675676,76.12612612612612,69.81981981981981,74.77477477477478,63.96396396396396,63.513513513513516,58.55855855855856,64.15701415701416
Kurtosis,60.36036036036036,78.82882882882883,54.05405405405405,70.72072072072072,66.66666666666667,62.61261261261261,42.34234234234234,61.711711711711715,70.72072072072072,51.8018018018018,57.65765765765766,62.16216216216216,61.26126126126126,45.04504504504504,60.424710424710426
