,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,0.0,8.108108108108098,46.846846846846844,19.819819819819813,0.0,0.0,11.261261261261254,6.756756756756758,2.7027027027026946,16.21621621621621,0.0,0.45045045045044674,0.0,0.0,8.011583011583008
$SASS_{60 Hz}$,7.657657657657651,49.54954954954955,67.56756756756756,56.30630630630631,24.324324324324323,28.378378378378372,47.74774774774775,47.74774774774775,40.990990990990994,43.24324324324324,47.74774774774775,55.85585585585586,53.6036036036036,52.7027027027027,44.53024453024454
RMS,26.57657657657657,35.13513513513513,41.44144144144144,34.23423423423422,32.88288288288288,19.819819819819813,28.828828828828833,30.630630630630634,36.93693693693694,29.27927927927928,19.819819819819813,22.97297297297297,24.324324324324323,25.675675675675677,29.182754182754184
$Grad_{max}$,0.0,50.450450450450454,40.54054054054054,15.765765765765778,0.0,0.0,1.3513513513513544,0.0,12.612612612612622,34.68468468468468,2.252252252252248,0.0,0.0,0.0,11.261261261261263
ZCR,64.86486486486487,71.62162162162161,72.97297297297297,66.21621621621622,72.52252252252252,70.72072072072072,67.56756756756756,61.711711711711715,72.52252252252252,77.02702702702703,71.62162162162161,71.62162162162161,72.52252252252252,72.07207207207207,70.3989703989704
Kurtosis,51.8018018018018,64.41441441441441,53.153153153153156,75.22522522522523,55.4054054054054,59.909909909909906,69.36936936936937,58.55855855855856,51.35135135135135,71.62162162162161,47.74774774774775,50.450450450450454,56.30630630630631,70.27027027027027,59.68468468468469
