,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,0.0,4.954954954954957,34.23423423423422,6.756756756756758,0.0,0.0,2.252252252252248,1.8018018018018012,0.0,3.1531531531531556,0.0,0.0,0.0,0.0,3.796653796653796
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.0,68.01801801801801,42.79279279279279,80.18018018018017,13.513513513513516,59.909909909909906,75.22522522522523,62.16216216216216,28.378378378378372,77.47747747747748,38.738738738738746,58.108108108108105,68.01801801801801,74.77477477477478,53.37837837837838
