,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,8.108108108108098,45.4954954954955,46.3963963963964,46.846846846846844,45.945945945945944,0.0,9.459459459459467,0.45045045045044674,0.0,0.0,0.45045045045044674,0.0,0.0,0.0,14.51093951093951
$SASS_{60 Hz}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$Grad_{max}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kurtosis,0.0,76.57657657657657,53.153153153153156,90.54054054054055,40.54054054054054,59.909909909909906,94.14414414414415,81.53153153153153,68.46846846846847,16.666666666666657,57.207207207207205,70.72072072072072,78.82882882882883,72.52252252252252,61.48648648648648
