,Fp1,F3,T7,C5,C3,P3,PO3,O1,F4,T8,C6,C4,P4,PO4,Mean
$SSAS_{1-50 Hz}$,31.531531531531527,25.225225225225216,27.47747747747748,58.108108108108105,40.990990990990994,0.0,3.6036036036036023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.352638352638353
$SASS_{60 Hz}$,21.621621621621628,43.69369369369369,59.909909909909906,62.16216216216216,60.810810810810814,38.738738738738746,56.30630630630631,42.34234234234234,23.42342342342343,23.42342342342343,38.288288288288285,21.621621621621628,20.72072072072072,11.261261261261254,37.45173745173745
RMS,25.225225225225216,49.0990990990991,47.297297297297305,32.432432432432435,31.981981981981974,36.48648648648649,38.288288288288285,22.52252252252252,0.0,22.072072072072075,18.91891891891892,8.558558558558559,5.4054054054054035,0.0,24.163449163449165
$Grad_{max}$,9.009009009009006,6.306306306306311,0.45045045045044674,22.072072072072075,1.3513513513513544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7992277992277996
ZCR,65.31531531531532,71.62162162162161,73.42342342342343,66.21621621621622,72.52252252252252,70.72072072072072,67.56756756756756,61.711711711711715,72.52252252252252,77.02702702702703,71.62162162162161,71.62162162162161,72.52252252252252,72.07207207207207,70.46332046332047
Kurtosis,59.45945945945946,76.57657657657657,52.7027027027027,81.98198198198199,28.378378378378372,42.79279279279279,70.72072072072072,59.00900900900901,63.96396396396396,52.25225225225225,40.090090090090094,42.79279279279279,46.3963963963964,43.24324324324324,54.311454311454305
